,Id,node_start,node_finish,avg_distance,avg_time,lat_start,lon_start,lat_finish,lon_finish
0,1.40321051702135e+18,290773715,4768528694,5.147066237999999,47.01776073862154,46.4381578,30.7242417,46.4381578,30.7288301
1,5.763550706443375e+18,10980432,3719876029,5.621990104999999,51.68719805996019,46.4726652,30.7392481,46.4726652,0.0
2,5.443824867579523e+18,274917390,5218361665,3.120920322999999,0.0,46.4796563,30.7078682,46.4796563,30.696352
3,4.695904374902306e+18,290800926,482648118,4.697003242000001,39.967318827231246,46.4388104,30.7121619,46.4388104,30.718724
4,8.978881267891464e+17,27126445,1987168307,1.7641807840000006,16.777724578900273,46.4173043,30.7264673,46.4173043,30.7375054
5,4.3664483889012577e+18,278078245,456883247,0.5407969320000001,6.378917015420556,46.4796992,30.7382446,46.4796992,30.7370948
6,9.161457006262241e+18,278068835,355657069,7.436190532999998,62.82030460658773,46.4378561,30.7455816,46.4378561,30.7485915
7,5.430438993780516e+18,290773725,3193630161,3.0352365210000007,32.8811278329572,46.4423744,30.7057988,46.4423744,30.7011863
8,8.065160788748963e+18,10980417,290425682,3.5167270580000007,26.023885162994727,46.4685241,30.7382746,46.4685241,30.7408402
9,3.9470580334360986e+18,10980442,5222301453,5.586271167999998,54.08728662655519,46.4706574,30.7468872,46.4706574,30.7478938
10,3.7687284470993434e+18,10980542,8952470952,2.2670408070000008,29.586989072948736,46.481606,30.7322459,46.481606,117.3223436
11,5.640339341472328e+18,290773725,3127865367,3.0703956089999997,32.159808113056854,46.4423744,30.7057988,46.4423744,30.6973026
12,7.878990052808876e+18,317473231,653129318,4.69643702,39.90289148796078,46.4720228,30.7069745,46.4720228,30.6860262
13,6.121885842330106e+18,290773715,4773671914,2.8417635779999997,0.0,46.4381578,30.7242417,46.4381578,30.7408744
14,1.8670650316846963e+18,27128517,27128517,2.894743545000001,0.0,46.5773501,30.7968041,46.5773501,30.7968041
15,4.258867199801688e+17,255437233,701847877,1.115058482,0.0,46.5825392,30.7847009,46.5825392,0.0
16,5.491940435460967e+18,290800936,7334613367,5.099447466,43.60267440987168,46.4385763,30.7022223,46.4385763,30.7111884
17,1.9604861640782615e+18,10980544,5211372214,5.2028360250000025,43.75060093095018,46.4826306,30.7386463,46.4826306,30.7309092
18,1.3210270363114947e+18,290941344,8952405931,1.4892504989999997,12.200590871254402,46.4128308,30.7201633,46.4128308,-3.1246501
19,1.3606868139311985e+18,27128863,317473328,6.693633022000002,55.24534682150762,46.4585416,30.7294143,46.4585416,30.7275443
20,2.9326787602306176e+18,290801035,8952394133,4.283105431999999,0.0,46.4425908,30.7030546,46.4425908,10.365401
21,6.271279320281752e+18,290941361,3257784723,1.5013024220000006,13.49418284070915,46.3900561,30.7234168,46.3900561,30.7232806
22,2.7124603116117037e+17,651273049,7087202371,0.9447234669999999,8.413661151522978,46.4808193,30.6931514,46.4808193,30.6930018
23,7.493304648945983e+18,352915464,5881287215,1.824136909,18.724385551026668,46.3940184,30.7159332,46.3940184,30.715331
24,2.1590194160555446e+18,27128750,8952393365,3.7713281250000006,26.125499549171476,46.4972256,30.7213613,46.4972256,-0.3582949
25,8.205403782766276e+18,10980532,8952410319,3.345430000999999,38.46514421988486,46.4744584,30.7553738,46.4744584,10.4763909
26,6.618587368743285e+18,10980445,4475535391,2.5710088879999993,32.50926128363357,46.4720857,30.7471103,46.4720857,30.753321
27,2.9052653604292756e+18,10980440,8952486104,3.694120051,41.64031681545207,46.4624727,30.7455146,46.4624727,-49.023335
28,1.6143861921272812e+18,27128793,8952407955,1.9268764890000005,19.50921082425727,46.4870066,30.7329909,46.4870066,-73.3023907
29,7.618080257237989e+18,278068835,290773732,6.103814011999999,53.882152025208114,46.4378561,30.7455816,46.4378561,30.721037
30,7.50598346424289e+18,10980529,1750183160,3.452774564999998,33.184108171509095,46.4702214,30.7532757,46.4702214,30.7486244
31,6.503627879558135e+18,27126438,8952404127,2.5223220570000002,25.42608136255626,46.4076354,30.7298697,46.4076354,-3.0860809
32,1.73509456526364e+18,27128890,8952405780,4.479008063000002,36.1750418896732,46.4299427,30.7291378,46.4299427,-3.1071675
33,7.850838012081021e+18,277661599,8952439663,2.755418958,27.631584690614506,46.4396071,30.7572752,46.4396071,-86.1880018
34,6.676608447434921e+18,27128750,8952393365,4.597331248000001,33.46033109129126,46.4972256,30.7213613,46.4972256,-0.3582949
