,Id,node_start,node_finish,avg_distance,avg_time,centr_distance_st,centr_distance_fin,Kyivsky Raion,Malynovsky Raion,Prymorsk Raion,unknown_region
0,1.40321051702135e+18,290773715,4768528694,5.147066237999999,47.01776073862154,5.060631759515908,5.135280043763883,0,1,0,0
1,5.763550706443375e+18,10980432,3719876029,5.621990104999999,51.68719805996019,2.3521989819124314,20.0,0,0,0,1
2,5.443824867579523e+18,274917390,5218361665,3.120920322999999,0.0,0.5095881602175134,1.2915750407052409,0,0,1,0
3,4.695904374902306e+18,290800926,482648118,4.697003242000001,39.967318827231246,4.9068556073981835,4.930174517658701,0,1,0,0
4,8.978881267891464e+17,27126445,1987168307,1.7641807840000006,16.777724578900273,7.376103651491136,7.546447916999305,0,0,0,1
5,4.3664483889012577e+18,278078245,456883247,0.5407969320000001,6.378917015420556,2.0111295216749436,1.924341890169282,0,0,1,0
6,9.16145700626224e+18,278068835,355657069,7.436190532999998,62.82030460658773,5.620888866911448,5.729196224597244,0,0,0,1
7,5.430438993780516e+18,290773725,3193630161,3.0352365210000007,32.8811278329572,4.539732060983638,4.593303019887608,0,1,0,0
8,8.065160788748963e+18,10980417,290425682,3.5167270580000007,26.023885162994727,2.548733514707737,2.704707248339707,0,0,0,1
9,3.9470580334360986e+18,10980442,5222301453,5.586271167999998,54.08728662655519,2.974759123551867,3.043627357586316,0,0,0,1
10,3.768728447099344e+18,10980542,8952470952,2.2670408070000008,29.586989072948736,1.5250552511600197,6285.51295904924,0,0,1,0
11,5.640339341472328e+18,290773725,3127865367,3.070395609,32.159808113056854,4.539732060983638,4.658872235414302,0,1,0,0
12,7.878990052808876e+18,317473231,653129318,4.69643702,39.90289148796078,1.2863870147579337,2.3671247747518924,0,0,0,1
13,6.121885842330106e+18,290773715,4773671914,2.841763578,0.0,5.060631759515908,5.43609350145245,0,1,0,0
14,1.8670650316846963e+18,27128517,27128517,2.894743545000001,0.0,12.32737024966351,12.32737024966351,0,0,0,1
15,4.258867199801688e+17,255437233,701847877,1.115058482,0.0,12.379331187998858,20.0,0,0,0,1
16,5.491940435460967e+18,290800936,7334613367,5.099447466,43.60267440987168,4.99536849625728,4.933816179696587,0,1,0,0
17,1.9604861640782612e+18,10980544,5211372214,5.2028360250000025,43.75060093095018,2.009467480583104,1.4154935958899761,0,0,0,1
18,1.321027036311495e+18,290941344,8952405931,1.4892504989999995,12.200590871254402,7.816995546062726,2579.7860338676433,1,0,0,0
19,1.3606868139311985e+18,27128863,317473328,6.693633022000002,55.24534682150762,3.009043056721039,2.9498122790901324,0,0,0,1
20,2.9326787602306176e+18,290801035,8952394133,4.283105431999999,0.0,4.544620259047318,1558.628238500545,0,1,0,0
21,6.271279320281752e+18,290941361,3257784723,1.5013024220000006,13.49418284070915,10.36043804182036,10.359594195859719,1,0,0,0
22,2.712460311611704e+17,651273049,7087202371,0.944723467,8.413661151522978,1.5030965064160764,1.5144413032358797,0,0,0,1
23,7.493304648945983e+18,352915464,5881287215,1.824136909,18.724385551026668,9.889407699167961,9.888274425092293,0,0,0,1
24,2.1590194160555448e+18,27128750,8952393365,3.7713281250000006,26.12549954917148,1.7269507026415334,20.0,0,0,1,0
25,8.205403782766276e+18,10980532,8952410319,3.345430000999999,38.46514421988486,3.426493832015956,1549.7128230961414,0,0,0,1
26,6.618587368743285e+18,10980445,4475535391,2.5710088879999997,32.50926128363357,2.920799814036219,3.360842470453645,0,0,0,1
27,2.905265360429276e+18,10980440,8952486104,3.694120051,41.64031681545207,3.408642387327639,5842.854943263538,0,0,1,0
28,1.6143861921272812e+18,27128793,8952407955,1.9268764890000003,19.50921082425727,1.6380539168947676,7329.302603967743,0,0,1,0
29,7.618080257237989e+18,278068835,290773732,6.103814011999999,53.882152025208114,5.620888866911448,5.055778419437816,0,0,0,1
30,7.50598346424289e+18,10980529,1750183160,3.452774564999998,33.184108171509095,3.43764158045374,3.1155847021605547,0,0,1,0
